Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,19749704,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
2,"STAY (with Justin Bieber)","The Kid LAROI",7200026,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",6066570,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
4,"Heat Waves","Glass Animals",4577369,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,"My Universe",Coldplay,4244680,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
6,Shivers,"Ed Sheeran",4121372,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
7,"Bad Habits","Ed Sheeran",4098546,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
8,Pepas,Farruko,3993422,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
9,"Cold Heart - PNAU Remix","Elton John",3867997,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
10,MONEY,LISA,3820361,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
11,Woman,"Doja Cat",3667796,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
12,"love nwantiti (ah ah ah)",CKay,3446028,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
13,"good 4 u","Olivia Rodrigo",3144565,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
14,"THATS WHAT I WANT","Lil Nas X",3117542,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
15,Beggin',Måneskin,3079631,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
16,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,3069204,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
17,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,3025537,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
18,"Life Goes On","Oliver Tree",2925654,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
19,"MONTERO (Call Me By Your Name)","Lil Nas X",2892868,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
20,"Need to Know","Doja Cat",2884378,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
21,"Let Somebody Go",Coldplay,2873978,https://open.spotify.com/track/4cGqn0E8JCSY9gQllQj4Mf
22,"Happier Than Ever","Billie Eilish",2602104,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
23,"Kiss Me More (feat. SZA)","Doja Cat",2572947,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
24,"When We Were Young",Adele,2321137,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU
25,"Way 2 Sexy (with Future & Young Thug)",Drake,2188822,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
26,Yonaguni,"Bad Bunny",2187164,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
27,"Levitating (feat. DaBaby)","Dua Lipa",2070725,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,"Bubbly (with Drake & Travis Scott)","Young Thug",2051674,https://open.spotify.com/track/4KDNRh9Oor80z3XIxdWlui
29,"Todo De Ti","Rauw Alejandro",2021800,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
30,"Meet Me At Our Spot","THE ANXIETY",2013980,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
31,"Someone Like You",Adele,2013682,https://open.spotify.com/track/5lkpeJwmQKgY3bX2zChjxX
32,traitor,"Olivia Rodrigo",1989229,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
33,Volví,Aventura,1986804,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
34,"Where Are You Now","Lost Frequencies",1959883,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
35,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,1955482,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
36,"Blinding Lights","The Weeknd",1946683,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
37,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1935576,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
38,"Rolling in the Deep",Adele,1892231,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
39,"Fair Trade (with Travis Scott)",Drake,1826874,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
40,"Take My Breath","The Weeknd",1804322,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
41,"Love In The Dark",Adele,1714032,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
42,"Don't Be Shy",Tiësto,1713507,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
43,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1707857,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
44,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1692202,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
45,"In Da Getto","J Balvin",1685193,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
46,"Set Fire to the Rain",Adele,1644138,https://open.spotify.com/track/7j4OmvkjRz0PrjFADlHfQx
47,"I WANNA BE YOUR SLAVE",Måneskin,1621365,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
48,"Qué Más Pues?","J Balvin",1595106,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
49,"drivers license","Olivia Rodrigo",1561505,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
50,Índigo,Camilo,1552934,https://open.spotify.com/track/4knc1Fp3kbuq8bH2byOvLu
51,Ghost,"Justin Bieber",1550206,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
52,2055,"Sleepy Hallow",1545582,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
53,Cúrame,"Rauw Alejandro",1512595,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
54,Nostálgico,Rvssian,1489676,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
55,Sobrio,Maluma,1473920,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
56,"Sweater Weather","The Neighbourhood",1473311,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
57,"Ley Seca","Jhay Cortez",1468261,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
58,"Get Into It (Yuh)","Doja Cat",1467694,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
59,Butter,BTS,1454501,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
60,LALISA,LISA,1449382,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
61,"Don't Go Yet","Camila Cabello",1418030,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
62,"Volando - Remix",Mora,1388274,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
63,"Watermelon Sugar","Harry Styles",1385445,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
64,Bored,"Billie Eilish",1379607,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
65,"AM Remix","Nio Garcia",1346586,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
66,Santé,Stromae,1339993,https://open.spotify.com/track/3vXnuFnC5RhPGwsFi0ORcI
67,"Make You Feel My Love",Adele,1337545,https://open.spotify.com/track/273QnyCvJB65rScHJ1nPZb
68,"Send My Love (To Your New Lover)",Adele,1334787,https://open.spotify.com/track/563SfWAHJs4FBZMkRN0IFN
69,DÁKITI,"Bad Bunny",1317398,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
70,"Undeniable (feat. X Ambassadors)",Kygo,1300815,https://open.spotify.com/track/71qB68guEJjbvtjlkZ8DF5
